CD_CVM,DENOM_CIA,EBIT,DESPESA_FINANCEIRA,RECEITA,LUCRO_LIQUIDO,DIVIDA_BRUTA,ATIVO_TOTAL,CAIXA,CAIXA_OPERACIONAL,ANO,DESPESA_FINANCEIRA_ABS,DIVIDA_LIQUIDA,DT_REFER,DT_RECEB
23396,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,4065875000.0,-3279226000.0,8806540000.0,1596362000.0,17079275000.0,34486194000.0,138954000.0,1164544000.0,2023,3279226000.0,16940321000.0,2023-12-31,2025-09-19
23396,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,5807716000.0,-5010993000.0,14212394000.0,2396851000.0,24781303000.0,44331033000.0,182644000.0,2633373000.0,2024,5010993000.0,24598659000.0,2024-12-31,2025-09-19
23396,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,6488335000.0,-7401173000.0,18780466000.0,1280100000.0,39475319000.0,55373598000.0,186551000.0,960674000.0,2025,7401173000.0,39288768000.0,2025-12-31,2026-04-13
25283,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,135394000.0,-91231000.0,834259000.0,88742000.0,376477000.0,802128000.0,65702000.0,121420000.0,2019,91231000.0,310775000.0,2019-12-31,2020-10-16
25283,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,205456000.0,-235462000.0,2208702000.0,113199000.0,1143002000.0,2370629000.0,684554000.0,-495109000.0,2020,235462000.0,458448000.0,2020-12-31,2021-02-22
25283,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,207893000.0,-277818000.0,2486150000.0,69193000.0,1458744000.0,3088179000.0,892933000.0,334918000.0,2021,277818000.0,565811000.0,2021-12-31,2022-02-17
25283,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,213455000.0,-505751000.0,2468884000.0,-92709000.0,1816726000.0,3774957000.0,1061718000.0,-13299000.0,2022,505751000.0,755008000.0,2022-12-31,2023-05-16
25283,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,264513000.0,-514000000.0,2831915000.0,-106567000.0,1695593000.0,4014481000.0,1063522000.0,-198791000.0,2023,514000000.0,632071000.0,2023-12-31,2024-02-21
25283,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,-741103000.0,-393635000.0,1516484000.0,-934083000.0,1556817000.0,2367614000.0,345841000.0,-460059000.0,2024,393635000.0,1210976000.0,2024-12-31,2025-03-27
25283,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,-505254000.0,-409278000.0,746006000.0,-901213000.0,1818188000.0,1613490000.0,28741000.0,-255062000.0,2025,409278000.0,1789447000.0,2025-12-31,2026-03-18
19313,AES ELPA S.A.,245546000.0,-181591000.0,9012207000.0,150571000.0,2747815000.0,11381965000.0,154265000.0,775564000.0,2013,181591000.0,2593550000.0,2013-12-31,2014-03-06
19313,AES ELPA S.A.,-41224000.0,-531898000.0,10557279000.0,-177884000.0,3071892000.0,12231380000.0,182924000.0,21889000.0,2014,531898000.0,2888968000.0,2014-12-31,2015-02-25
19313,AES ELPA S.A.,425661000.0,-785769000.0,13667413000.0,54281000.0,3602542000.0,13872026000.0,146686000.0,-316155000.0,2015,785769000.0,3455856000.0,2015-12-31,2016-02-25
19313,AES ELPA S.A.,-1278000.0,-1713000.0,0.0,225146000.0,0.0,50040000.0,12411000.0,1702442000.0,2016,1713000.0,-12411000.0,2016-12-31,2017-03-07
18970,AES TIETE ENERGIA SA,1624370000.0,-272968000.0,9428650000.0,1063465000.0,3865843000.0,16573460000.0,271996000.0,1755779000.0,2013,272968000.0,3593847000.0,2013-12-31,2014-02-28
18970,AES TIETE ENERGIA SA,604262000.0,-659944000.0,11765343000.0,209826000.0,4695930000.0,17673814000.0,217634000.0,647183000.0,2014,659944000.0,4478296000.0,2014-12-31,2015-02-25
18970,AES TIETE ENERGIA SA,1163518000.0,-192010000.0,2625821000.0,803316000.0,1391658000.0,4636779000.0,558000.0,668729000.0,2015,192010000.0,1391100000.0,2015-12-31,2016-02-24
18970,AES TIETE ENERGIA SA,644376000.0,-231794000.0,1561348000.0,358533000.0,1446570000.0,4099579000.0,72086000.0,630440000.0,2016,231794000.0,1374484000.0,2016-12-31,2017-02-24
